Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,32526562
"Population, total",SP.POP.TOTL,Albania,ALB,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900247,2896652,2893654,2889167
"Population, total",SP.POP.TOTL,Algeria,DZA,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39666519
"Population, total",SP.POP.TOTL,American Samoa,ASM,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434,55538
"Population, total",SP.POP.TOTL,Andorra,ADO,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786,70473
"Population, total",SP.POP.TOTL,Angola,AGO,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,25021974
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900,91818
"Population, total",SP.POP.TOTL,Argentina,ARG,37057453,37471535,37889443,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,43416755
"Population, total",SP.POP.TOTL,Armenia,ARM,3076098,3060036,3047249,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154,3017712
"Population, total",SP.POP.TOTL,Aruba,ABW,90858,92894,94995,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441,103889
"Population, total",SP.POP.TOTL,Australia,AUS,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23464086,23781169
"Population, total",SP.POP.TOTL,Austria,AUT,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575,8611088
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9651349
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,297891,303138,309170,315757,322539,329243,335801,342259,348587,354780,360830,366711,372388,377841,383054,388019
"Population, total",SP.POP.TOTL,Bahrain,BHR,666855,694893,725365,761595,807989,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930,1377237
"Population, total",SP.POP.TOTL,Bangladesh,BGD,131280739,133776064,136228456,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,160995642
"Population, total",SP.POP.TOTL,Barbados,BRB,269838,270686,271479,272261,273091,274013,275040,276154,277315,278466,279566,280602,281580,282503,283380,284215
"Population, total",SP.POP.TOTL,Belarus,BLR,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9483000,9513000
"Population, total",SP.POP.TOTL,Belgium,BEL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11231213,11285721
"Population, total",SP.POP.TOTL,Belize,BLZ,247312,254989,262202,269132,276085,283279,290751,298403,306165,313925,321609,329193,336707,344193,351706,359287
"Population, total",SP.POP.TOTL,Benin,BEN,6949366,7174911,7414744,7665681,7922796,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482,10879829
"Population, total",SP.POP.TOTL,Bermuda,BMU,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65235
"Population, total",SP.POP.TOTL,Bhutan,BTN,564187,580784,598421,616474,634235,651163,666920,681471,694990,707830,720246,732246,743711,754637,765008,774830
"Population, total",SP.POP.TOTL,Bolivia,BOL,8339512,8496378,8653343,8810420,8967740,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762,10399931,10561887,10724705
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3792878,3799747,3808347,3817313,3825872,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554,3810416
"Population, total",SP.POP.TOTL,Botswana,BWA,1736579,1762531,1786672,1810438,1835750,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937,2262485
"Population, total",SP.POP.TOTL,Brazil,BRA,175786441,178419396,181045592,183627339,186116363,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898,207847528
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,20643,21087,21530,22000,22538,23169,23908,24735,25604,26450,27223,27906,28511,29058,29585,30117
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,330554,337074,343383,349557,355700,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394,423188
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8170172,8020282,7868468,7823557,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,11607944,11943740,12290984,12651596,13028039,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198,18105570
"Population, total",SP.POP.TOTL,Burundi,BDI,6767073,6946720,7159918,7401215,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,11178921
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,438737,447357,455396,462675,468985,474224,478265,481278,483824,486673,490379,495159,500870,507258,513906,520502
"Population, total",SP.POP.TOTL,Cambodia,KHM,12197905,12448881,12681984,12901217,13112334,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136,15577899
"Population, total",SP.POP.TOTL,Cameroon,CMR,15927713,16349364,16779434,17218591,17667576,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,23344179
"Population, total",SP.POP.TOTL,Canada,CAN,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34751476,35155499,35543658,35851774
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,41685,43317,44742,46032,47299,48623,50028,51480,52925,54285,55509,56580,57522,58369,59172,59967
"Population, total",SP.POP.TOTL,Central African Republic,CAF,3726048,3794677,3859784,3923294,3987896,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316,4900274
"Population, total",SP.POP.TOTL,Chad,TCD,8343321,8663599,9002102,9353516,9710498,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053,14037472
"Population, total",SP.POP.TOTL,Channel Islands,CHI,148725,149797,150905,152034,153170,154298,155415,156516,157587,158613,159583,160489,161336,162138,162917,163692
"Population, total",SP.POP.TOTL,Chile,CHL,15170387,15358418,15544554,15729268,15913119,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,17948141
"Population, total",SP.POP.TOTL,China,CHN,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000
"Population, total",SP.POP.TOTL,Colombia,COL,40403959,40988909,41572493,42152147,42724157,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393,48228704
"Population, total",SP.POP.TOTL,Comoros,COM,547696,561525,575428,589500,603869,618632,633814,649404,665414,681845,698695,715972,733661,751697,769991,788474
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,48048664,49449015,50971407,52602208,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,77266814
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3109269,3183883,3256867,3331564,3412592,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4620330
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3925450,3996800,4063208,4125970,4187039,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606,4807850
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,16517948,16865376,17185421,17491539,17802516,18132702,18486392,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107,22701556
"Population, total",SP.POP.TOTL,Croatia,HRV,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4224404
"Population, total",SP.POP.TOTL,Cuba,CUB,11116787,11151472,11184540,11214837,11240680,11261052,11275199,11284043,11290239,11297442,11308133,11323570,11342631,11362505,11379111,11389562
"Population, total",SP.POP.TOTL,Curacao,CUW,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,158040
"Population, total",SP.POP.TOTL,Cyprus,CYP,943287,961482,979883,998150,1015827,1032586,1048293,1063040,1077010,1090486,1103685,1116644,1129303,1141652,1153658,1165300
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10551219
"Population, total",SP.POP.TOTL,Denmark,DNK,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5676002
"Population, total",SP.POP.TOTL,Djibouti,DJI,722562,734088,745459,756656,767644,778406,788941,799309,809639,820097,830802,841802,853069,864554,876174,887861
"Population, total",SP.POP.TOTL,Dominica,DMA,69679,69660,69806,70058,70325,70542,70690,70795,70881,70995,71167,71402,71685,72005,72341,72680
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,8562623,8697127,8832286,8967759,9102997,9237565,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408,10405943,10528391
"Population, total",SP.POP.TOTL,Ecuador,ECU,12628596,12852753,13072056,13289600,13509645,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,16144363
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,68334905,69599945,70908710,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,91508084
"Population, total",SP.POP.TOTL,El Salvador,SLV,5811836,5844738,5874301,5900929,5925089,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644,6107706,6126583
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,530896,549007,567664,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,845060
"Population, total",SP.POP.TOTL,Eritrea,ERI,3535156,3655006,3788532,3928408,4064958,4191273,4304440,4406299,4500638,4593549,4689664,4789568,..,..,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1311998
"Population, total",SP.POP.TOTL,Ethiopia,ETH,66443603,68393128,70391170,72432290,74506974,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,99390750
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,46491,47012,47452,47812,48103,48337,48505,48599,48629,48613,48567,48492,48393,48292,48221,48199
"Population, total",SP.POP.TOTL,Fiji,FJI,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,892145
